model,fold,test_year,arm,ablation,seeds_averaged,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
pit_dern,fold_1,2022,Global-Numeric,encoder_only,5,241,15.901219179781902,12.88401941692014,1.310062197945395,0.4895539164723669,0.4666666666666667,0.4859110392804441,-0.030004576307642635,1.0,240,1,0,71,36,92,41,0.32083333333333336
pit_dern,fold_1,2022,Global-Numeric-News,encoder_only,5,241,15.74076556965756,12.97189994259813,1.3180363902166026,0.49980340604803364,0.44166666666666665,0.45878715480289506,-0.08664414713625514,1.0,240,1,0,66,41,93,40,0.3375
pit_dern,fold_1,2022,Regime-SHAP-Numeric,encoder_only,5,241,14.075596621476974,11.695030541116681,1.1902208468890256,0.6000343884822392,0.4375,0.45320075890661227,-0.09754040922137511,1.0,240,1,0,64,43,92,41,0.35
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,encoder_only,5,241,13.905557075567955,11.177150100909092,1.1378284061422435,0.6096395479992922,0.475,0.4815543531726512,-0.03696409351564353,1.0,240,1,0,58,49,77,56,0.4375
pit_dern,fold_2,2023,Global-Numeric,encoder_only,5,243,14.779200420973536,11.910839057410357,1.286845300690061,0.8896705028223475,0.5371900826446281,0.5471491228070176,0.1000595447585717,1.0,242,1,0,48,80,32,82,0.6694214876033058
pit_dern,fold_2,2023,Global-Numeric-News,encoder_only,5,243,13.822678626890038,11.379594586841282,1.2291208016092734,0.9034895849259922,0.4628099173553719,0.47108004385964913,-0.060321691515335826,1.0,242,1,0,42,86,44,70,0.6446280991735537
pit_dern,fold_2,2023,Regime-SHAP-Numeric,encoder_only,5,243,12.548646842782782,10.038646843114012,1.084035792106919,0.9204603719435644,0.5578512396694215,0.569078947368421,0.14912286881344386,1.0,242,1,0,48,80,27,87,0.6900826446280992
pit_dern,fold_2,2023,Regime-SHAP-Numeric-News,encoder_only,5,243,13.47861478651256,10.867918866582977,1.1739362785070462,0.9082343205281688,0.49586776859504134,0.5032894736842105,0.006794707624925293,1.0,242,1,0,48,80,42,72,0.628099173553719
pit_dern,fold_3,2024,Global-Numeric,encoder_only,5,244,14.710478818332643,11.991992660528721,1.3946965392368385,0.8884103154439746,0.5081967213114754,0.5157816811360119,0.03392926511363978,1.0,244,0,0,42,85,35,82,0.6844262295081968
pit_dern,fold_3,2024,Global-Numeric-News,encoder_only,5,244,12.6077768486788,10.114765206061344,1.1779739435882473,0.9180314110987279,0.5,0.5048791977925836,0.010037909202260904,1.0,244,0,0,49,78,44,73,0.6188524590163934
pit_dern,fold_3,2024,Regime-SHAP-Numeric,encoder_only,5,244,13.4009589365661,10.870040872396286,1.2617105477012673,0.9073933477335246,0.5245901639344263,0.5348946766269601,0.08051809711784627,1.0,244,0,0,36,91,25,92,0.75
pit_dern,fold_3,2024,Regime-SHAP-Numeric-News,encoder_only,5,244,14.403711893987243,11.709353493811301,1.3607233015237428,0.8930158886146107,0.4918032786885246,0.4993606568409718,-0.001374533128271121,1.0,244,0,0,40,87,37,80,0.6844262295081968
pit_dern,fold_4,2025,Global-Numeric,encoder_only,5,234,15.299631815908441,11.998560471266249,1.5277748163659308,0.9096390751275594,0.5341880341880342,0.5348684210526315,0.06980576339578433,1.0,234,0,0,61,59,50,64,0.5256410256410257
pit_dern,fold_4,2025,Global-Numeric-News,encoder_only,5,234,14.593346569006778,11.655624194708054,1.482872735210748,0.9177892707109905,0.5085470085470085,0.5100877192982456,0.020314763615140063,1.0,234,0,0,54,66,49,65,0.5598290598290598
pit_dern,fold_4,2025,Regime-SHAP-Numeric,encoder_only,5,234,14.793691402782336,11.777777646249197,1.4898353538359321,0.9155165154587687,0.49145299145299143,0.493421052631579,-0.013312051063847863,1.0,234,0,0,50,70,49,65,0.5769230769230769
pit_dern,fold_4,2025,Regime-SHAP-Numeric-News,encoder_only,5,234,14.278101958572611,11.369467024861027,1.4373509782399077,0.921302730214102,0.5256410256410257,0.5293859649122807,0.061402418907644314,1.0,234,0,0,46,74,37,77,0.6452991452991453
pit_dern,fold_1,2022,Global-Numeric,standard_retrieval,5,241,6.987879244070808,5.409871808166584,0.5505595735373151,0.9014220434925594,0.49166666666666664,0.4965919471576136,-0.00680463959854139,1.0,240,1,0,58,49,73,60,0.45416666666666666
pit_dern,fold_1,2022,Global-Numeric-News,standard_retrieval,5,241,7.4731980566624285,5.889271426144322,0.599320584746546,0.8872537742182938,0.45416666666666666,0.4554493710912796,-0.08862611397268919,1.0,240,1,0,50,57,74,59,0.48333333333333334
pit_dern,fold_1,2022,Regime-SHAP-Numeric,standard_retrieval,5,241,7.395536727175623,5.763565444767359,0.5869562584232567,0.8895849115756468,0.48333333333333334,0.4890731501651324,-0.021853699669735084,1.0,240,1,0,58,49,75,58,0.44583333333333336
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,standard_retrieval,5,241,7.586665396911443,5.759106946453307,0.5868057374932807,0.8838040773276425,0.4791666666666667,0.47983275946876536,-0.04010266774315525,1.0,240,1,0,52,55,70,63,0.49166666666666664
