dataset_id,instrument,instrument_type,currency,frequency,artifact_class,path,bytes,sha256,row_count,date_start,date_end,source_url,source_host_evidence,vendor_instrument_id,acquisition_evidence_at_bangkok,acquisition_timestamp_basis,acquisition_method,timezone_convention,decision_time_bangkok,adjustment_convention,raw_redistribution
set50_daily,SET50,price_index,THB,daily,restricted_raw,D:\SET50_direction_prediction_paper\data-raw\SET50_days.csv,232894,b77dc67921653a779c4b447d6f07e147004b3807e954a3cccfdf2f5b2617da28,3403,2012-01-04,2025-12-22,https://th.investing.com/indices/set-50-historical-data,https://th.investing.com/,41049,2026-06-22T15:48:38+07:00,local_file_creation_time_not_vendor_receipt,manual_browser_download_user_supplied,Asia/Bangkok,17:00:00,provider_published_price_index_not_total_return_no_researcher_side_adjustment,prohibited
set50_weekly,SET50,price_index,THB,weekly,restricted_raw,D:\SET50_direction_prediction_paper\data-raw\SET50_weeks.csv,49765,b57aad9187f7dce803e5641ce9ae29250ed1934b668b9d81cb553d044b8d81c6,730,2012-01-01,2025-12-21,https://th.investing.com/indices/set-50-historical-data,https://th.investing.com/,41049,2026-06-22T15:50:28+07:00,local_file_creation_time_not_vendor_receipt,manual_browser_download_user_supplied,Asia/Bangkok,17:00:00,provider_published_price_index_not_total_return_no_researcher_side_adjustment,prohibited
set50_monthly,SET50,price_index,THB,monthly,restricted_raw,D:\SET50_direction_prediction_paper\data-raw\SET50_months.csv,11751,4478d0d20d070d0c898370dcaf4f3becd591f8dc45de1f9565ad7679fca8782c,168,2012-01-01,2025-12-01,https://th.investing.com/indices/set-50-historical-data,https://th.investing.com/,41049,2026-06-22T15:51:18+07:00,local_file_creation_time_not_vendor_receipt,manual_browser_download_user_supplied,Asia/Bangkok,17:00:00,provider_published_price_index_not_total_return_no_researcher_side_adjustment,prohibited
set100_daily,SET100,price_index,THB,daily,restricted_raw,D:\SET50_direction_prediction_paper\set100_data\set100_daily.csv,260892,a712a8182213772c5088e240b976b6cc17399c92e39187f7103a502bc5997afd,3549,2012-01-04,2026-08-03,https://www.investing.com/indices/set-100-historical-data,https://www.investing.com/,not_recorded,2026-08-03T12:42:15+07:00,local_file_creation_time_not_vendor_receipt,manual_browser_download_user_supplied,Asia/Bangkok,17:00:00,provider_published_price_index_not_total_return_no_researcher_side_adjustment,prohibited
set100_weekly,SET100,price_index,THB,weekly,restricted_raw,D:\SET50_direction_prediction_paper\set100_data\set100_weekly.csv,56467,3f03f76ce9f902d287ec7db925674edd8ddd20431c4ff2bcc34a3ba741a45c52,762,2012-01-01,2026-08-02,https://www.investing.com/indices/set-100-historical-data,https://www.investing.com/,not_recorded,2026-08-03T12:42:33+07:00,local_file_creation_time_not_vendor_receipt,manual_browser_download_user_supplied,Asia/Bangkok,17:00:00,provider_published_price_index_not_total_return_no_researcher_side_adjustment,prohibited
set100_monthly,SET100,price_index,THB,monthly,restricted_raw,D:\SET50_direction_prediction_paper\set100_data\set100_monthly.csv,13093,2da2124af1c26312b4392ed539cf3b44cc0748a468b6a1cac4d4d170e7ee8058,175,2012-02-01,2026-08-01,https://www.investing.com/indices/set-100-historical-data,https://www.investing.com/,not_recorded,2026-08-03T12:42:53+07:00,local_file_creation_time_not_vendor_receipt,manual_browser_download_user_supplied,Asia/Bangkok,17:00:00,provider_published_price_index_not_total_return_no_researcher_side_adjustment,prohibited
set100_daily_prepared,SET100,price_index,THB,daily_prepared,restricted_derived_reconstructive,D:\SET50_direction_prediction_paper\set100_data\prepared\SET100_days.csv,248820,397b551f2c93f76e52d17432222893d555c4eb3679c8464c55d7ee11d1a04bef,3548,2012-01-04,2026-07-31,https://www.investing.com/indices/set-100-historical-data,https://www.investing.com/,not_recorded,derived,local_file_creation_time_not_vendor_receipt,manual_browser_download_user_supplied,Asia/Bangkok,17:00:00,provider_published_price_index_not_total_return_no_researcher_side_adjustment,prohibited
set100_weekly_prepared,SET100,price_index,THB,weekly_prepared,restricted_derived_reconstructive,D:\SET50_direction_prediction_paper\set100_data\prepared\SET100_weeks.csv,53867,c0ab6ac26d0cf44856aedab4d30aa0ecf0002b4c9ff40385a0a33a00f764da20,761,2012-01-01,2026-07-26,https://www.investing.com/indices/set-100-historical-data,https://www.investing.com/,not_recorded,derived,local_file_creation_time_not_vendor_receipt,manual_browser_download_user_supplied,Asia/Bangkok,17:00:00,provider_published_price_index_not_total_return_no_researcher_side_adjustment,prohibited
set100_monthly_prepared,SET100,price_index,THB,monthly_prepared,restricted_derived_reconstructive,D:\SET50_direction_prediction_paper\set100_data\prepared\SET100_months.csv,12423,e90627dc135907019452f5a4dc4274606532e3f024e9a4261ddf9026461128c9,174,2012-02-01,2026-07-01,https://www.investing.com/indices/set-100-historical-data,https://www.investing.com/,not_recorded,derived,local_file_creation_time_not_vendor_receipt,manual_browser_download_user_supplied,Asia/Bangkok,17:00:00,provider_published_price_index_not_total_return_no_researcher_side_adjustment,prohibited
set100_daily_calendar,SET100,price_index,THB,daily_calendar,restricted_derived_reconstructive,D:\SET50_direction_prediction_paper\set100_data\prepared\SET100_daily_calendar.csv,220842,582fb88fa4b95a090e2046d88b060a8a60ad98454db2179509bedb4d6d5085b0,3549,2012-01-04,2026-08-03,https://www.investing.com/indices/set-100-historical-data,https://www.investing.com/,not_recorded,derived,local_file_creation_time_not_vendor_receipt,manual_browser_download_user_supplied,Asia/Bangkok,17:00:00,provider_published_price_index_not_total_return_no_researcher_side_adjustment,prohibited
set100_aligned,SET100,price_index,THB,aligned,restricted_derived_reconstructive,D:\SET50_direction_prediction_paper\set100_data\prepared\SET100_aligned.csv,603548,0c6d3e588039b80648e45755ff95b57143fe46fdb5d5a0dde63864cd6e12d8f6,3507,2012-03-01,2026-07-31,https://www.investing.com/indices/set-100-historical-data,https://www.investing.com/,not_recorded,derived,local_file_creation_time_not_vendor_receipt,manual_browser_download_user_supplied,Asia/Bangkok,17:00:00,provider_published_price_index_not_total_return_no_researcher_side_adjustment,prohibited
set100_aligned_common_set50_dates,SET100,price_index,THB,aligned_common_set50_dates,restricted_derived_reconstructive,D:\SET50_direction_prediction_paper\set100_data\prepared\SET100_aligned_common_set50_dates.csv,578243,40253e7391c7b2d2a4b4f503eaf0064c03e6331ecc57ca05abdcccb9794e964a,3360,2012-03-01,2025-12-18,https://www.investing.com/indices/set-100-historical-data,https://www.investing.com/,not_recorded,derived,local_file_creation_time_not_vendor_receipt,manual_browser_download_user_supplied,Asia/Bangkok,17:00:00,provider_published_price_index_not_total_return_no_researcher_side_adjustment,prohibited
